Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2015,20,Aguascalientes,35,245,522,126,2,9,6,4,0,0,4,1
2015,20,Baja California,70,149,492,902,3,23,26,96,1,9,16,42
2015,20,Baja California Sur,11,58,194,288,0,11,3,22,1,2,3,7
2015,20,Campeche,33,101,285,166,4,11,5,2,1,7,3,2
2015,20,Coahuila,20,126,428,632,1,26,42,120,0,13,14,32
2015,20,Colima,11,70,245,339,3,29,20,46,0,4,2,5
2015,20,Chiapas,6,91,384,313,0,23,12,58,2,8,8,19
2015,20,Chihuahua,118,569,1397,1211,2,26,31,144,2,8,13,37
2015,20,Distrito Federal,401,1393,4275,4629,11,65,60,89,1,19,19,53
2015,20,Durango,120,303,1039,588,1,22,17,31,0,6,7,8
2015,20,Guanajuato,11,27,108,146,4,8,16,12,3,7,10,2
2015,20,Guerrero,9,66,191,50,0,24,11,6,2,7,6,0
2015,20,Hidalgo,28,126,397,475,3,19,27,78,0,2,1,10
2015,20,Jalisco,158,634,1850,926,19,93,94,64,6,25,25,15
2015,20,México,152,528,1789,2054,10,94,94,244,3,19,21,59
2015,20,Michoacán,77,251,874,758,4,26,38,120,0,2,6,34
2015,20,Morelos,73,204,800,823,3,56,54,73,0,8,20,17
2015,20,Nayarit,37,115,371,451,1,24,14,27,0,7,10,17
2015,20,Nuevo León,76,178,581,248,11,67,42,7,7,3,25,1
2015,20,Oaxaca,4,118,271,405,9,42,35,48,4,7,7,15
2015,20,Puebla,50,179,613,252,7,57,58,29,0,5,5,4
2015,20,Querétaro,29,54,196,145,2,8,7,9,1,2,4,2
2015,20,Quintana Roo,21,54,186,224,0,3,5,35,1,3,1,15
2015,20,San Luis Potosí,53,259,748,634,3,7,13,22,1,4,12,9
2015,20,Sinaloa,62,170,746,767,16,57,58,149,3,13,23,62
2015,20,Sonora,50,197,680,841,3,31,37,78,1,16,14,55
2015,20,Tabasco,36,101,396,458,2,9,9,34,0,4,2,8
2015,20,Tamaulipas,50,310,670,493,1,33,24,36,0,4,9,7
2015,20,Tlaxcala,13,43,141,48,2,12,7,15,1,2,5,0
2015,20,Veracruz,103,264,1092,1108,10,65,52,73,0,16,24,48
2015,20,Yucatán,38,117,428,426,4,23,17,50,1,7,21,25
2015,20,Zacatecas,22,75,259,337,0,2,7,10,0,2,2,2
