anio,semana,estado,enfermedad,casos_semana,acumulado_hombres,acumulado_mujeres,acumulado_anio_anterior
2025,46,Aguascalientes,Depresión,40,447,1119,1271
2025,46,Aguascalientes,Parkinson,1,27,21,68
2025,46,Aguascalientes,Alzheimer,1,8,6,22
2025,46,Baja California,Depresión,108,1395,3227,4620
2025,46,Baja California,Parkinson,5,63,62,126
2025,46,Baja California,Alzheimer,,17,38,69
2025,46,Baja California Sur,Depresión,19,182,468,784
2025,46,Baja California Sur,Parkinson,3,44,19,45
2025,46,Baja California Sur,Alzheimer,,5,10,11
2025,46,Campeche,Depresión,60,390,1038,1282
2025,46,Campeche,Parkinson,5,76,37,95
2025,46,Campeche,Alzheimer,,10,8,19
2025,46,Coahuila,Depresión,49,727,1749,2371
2025,46,Coahuila,Parkinson,4,65,61,188
2025,46,Coahuila,Alzheimer,,36,41,76
2025,46,Colima,Depresión,82,874,1663,2505
2025,46,Colima,Parkinson,4,90,82,258
2025,46,Colima,Alzheimer,2,19,27,31
2025,46,Chiapas,Depresión,66,733,2643,3003
2025,46,Chiapas,Parkinson,5,83,66,140
2025,46,Chiapas,Alzheimer,,16,22,38
2025,46,Chihuahua,Depresión,152,1852,4987,7230
2025,46,Chihuahua,Parkinson,5,177,217,453
2025,46,Chihuahua,Alzheimer,5,70,127,157
2025,46,Ciudad de México,Depresión,501,5733,15690,20742
2025,46,Ciudad de México,Parkinson,6,115,97,329
2025,46,Ciudad de México,Alzheimer,2,30,46,83
2025,46,Durango,Depresión,116,865,2906,4149
2025,46,Durango,Parkinson,,129,126,355
2025,46,Durango,Alzheimer,2,35,25,56
2025,46,Guanajuato,Depresión,96,1146,3941,5415
2025,46,Guanajuato,Parkinson,2,111,119,163
2025,46,Guanajuato,Alzheimer,1,19,45,56
2025,46,Guerrero,Depresión,92,852,2430,2486
2025,46,Guerrero,Parkinson,1,75,69,111
2025,46,Guerrero,Alzheimer,,10,24,25
2025,46,Hidalgo,Depresión,77,616,2497,2779
2025,46,Hidalgo,Parkinson,,45,40,76
2025,46,Hidalgo,Alzheimer,,8,25,29
2025,46,Jalisco,Depresión,234,2905,6327,9139
2025,46,Jalisco,Parkinson,14,351,371,636
2025,46,Jalisco,Alzheimer,1,57,99,162
2025,46,México,Depresión,192,2316,7250,9386
2025,46,México,Parkinson,10,197,196,341
2025,46,México,Alzheimer,2,40,67,55
2025,46,Michoacán,Depresión,138,1656,4503,6689
2025,46,Michoacán,Parkinson,4,162,147,381
2025,46,Michoacán,Alzheimer,1,28,38,69
