Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2023,18,Aguascalientes,15,109,354,335,0,11,9,19,0,2,9,4
2023,18,Baja California,121,442,1009,1454,6,33,59,69,7,9,24,48
2023,18,Baja California Sur,19,225,338,581,1,10,6,21,1,4,4,3
2023,18,Campeche,18,137,345,357,1,16,8,29,0,4,5,14
2023,18,Coahuila,67,353,752,793,3,30,29,63,0,10,16,16
2023,18,Colima,36,156,412,390,5,44,52,106,1,9,30,31
2023,18,Chiapas,49,166,556,726,1,39,27,44,1,8,15,16
2023,18,Chihuahua,153,634,1763,2462,5,59,46,141,4,23,33,48
2023,18,Ciudad de México,531,2055,5648,7071,2,48,41,152,1,6,15,30
2023,18,Durango,88,361,1144,1037,6,75,55,86,1,5,14,18
2023,18,Guanajuato,134,397,1922,1533,5,42,36,44,1,14,11,12
2023,18,Guerrero,63,255,824,629,6,30,27,43,0,4,11,9
2023,18,Hidalgo,57,169,775,724,3,21,15,28,2,6,7,13
2023,18,Jalisco,197,1026,2576,3133,22,154,146,274,7,50,48,78
2023,18,México,335,1161,3306,3681,10,106,106,179,4,29,38,58
2023,18,Michoacán,102,340,1007,994,4,47,44,84,1,12,11,29
2023,18,Morelos,67,281,915,936,13,60,70,87,1,4,14,10
2023,18,Nayarit,62,271,725,980,0,8,11,39,1,7,9,12
2023,18,Nuevo León,84,537,1334,1489,3,56,36,73,1,10,28,46
2023,18,Oaxaca,55,252,619,640,3,38,27,68,0,9,9,24
2023,18,Puebla,77,359,917,1357,2,19,30,33,0,5,5,5
2023,18,Querétaro,24,73,195,247,0,8,3,9,0,2,3,8
2023,18,Quintana Roo,33,92,335,601,2,13,11,20,0,3,2,9
2023,18,San Luis Potosí,37,232,704,726,0,35,31,39,1,5,13,16
2023,18,Sinaloa,99,363,1012,1247,10,67,80,161,2,26,41,53
2023,18,Sonora,54,260,868,776,5,24,28,54,3,11,25,31
2023,18,Tabasco,185,688,1430,764,1,54,39,63,0,14,6,12
2023,18,Tamaulipas,100,388,930,1269,8,67,60,158,4,23,35,56
2023,18,Tlaxcala,25,104,280,368,1,12,13,15,0,0,2,4
2023,18,Veracruz,176,604,1857,2226,12,142,123,261,3,39,42,57
2023,18,Yucatán,40,174,582,744,2,25,17,83,0,3,12,34
2023,18,Zacatecas,28,147,454,548,1,8,1,6,0,0,1,5
