Anio,Semana,Entidad,Casos_semana_Depresión,Acumulado_hombres_Depresión,Acumulado_mujeres_Depresión,Acumulado_anio_anterior_Depresión,Casos_semana_Parkinson,Acumulado_hombres_Parkinson,Acumulado_mujeres_Parkinson,Acumulado_anio_anterior_Parkinson,Casos_semana_Alzheimer,Acumulado_hombres_Alzheimer,Acumulado_mujeres_Alzheimer,Acumulado_anio_anterior_Alzheimer
2025,07,Aguascalientes,27,48,144,185,0,3,0,6,0,4,0,4
2025,07,Baja California,81,211,369,583,0,8,4,24,2,3,4,9
2025,07,Baja California Sur,15,17,55,112,0,1,1,9,0,2,0,2
2025,07,Campeche,45,68,140,166,1,7,7,16,1,4,1,3
2025,07,Coahuila,67,78,214,300,3,9,7,36,0,2,7,12
2025,07,Colima,50,112,194,389,4,17,7,28,0,2,3,12
2025,07,Chiapas,62,73,273,440,5,11,11,11,1,0,3,4
2025,07,Chihuahua,125,208,545,975,8,30,31,62,4,11,17,20
2025,07,Ciudad de México,434,634,1828,2792,6,12,12,48,0,3,5,10
2025,07,Durango,29,91,313,530,9,25,23,50,1,7,2,8
2025,07,Guanajuato,131,159,501,667,9,13,20,18,1,2,3,5
2025,07,Guerrero,44,57,229,306,3,11,7,16,0,1,0,2
2025,07,Hidalgo,55,45,287,392,3,3,6,11,2,0,8,1
2025,07,Jalisco,90,343,607,1073,13,38,36,89,2,6,10,14
2025,07,México,189,271,899,1441,7,29,18,49,6,7,8,8
2025,07,Michoacán,125,220,579,634,13,43,27,45,2,4,3,8
2025,07,Morelos,63,82,254,348,3,15,12,47,0,0,2,6
2025,07,Nayarit,118,143,301,328,1,1,3,1,9,6,7,6
2025,07,Nuevo León,138,160,480,562,1,15,10,32,0,5,9,10
2025,07,Oaxaca,34,92,168,216,4,11,10,17,2,4,7,12
2025,07,Puebla,47,96,271,385,3,3,5,6,1,3,2,2
2025,07,Querétaro,20,38,129,163,1,2,3,8,0,0,0,3
2025,07,Quintana Roo,24,43,113,221,3,12,12,7,1,0,3,2
2025,07,San Luis Potosí,79,92,261,412,2,4,7,25,1,0,1,12
2025,07,Sinaloa,80,139,342,712,7,25,26,61,3,6,12,21
2025,07,Sonora,63,85,221,363,0,4,2,21,0,2,3,13
2025,07,Tabasco,92,131,286,604,2,6,5,15,0,4,2,4
2025,07,Tamaulipas,62,65,231,481,7,17,21,45,3,2,8,17
2025,07,Tlaxcala,25,40,137,117,0,1,0,1,0,0,0,0
2025,07,Veracruz,132,169,532,713,13,40,44,96,5,10,10,17
2025,07,Yucatán,73,113,347,385,1,7,8,12,0,0,2,6
2025,07,Zacatecas,30,47,168,235,0,0,2,3,1,0,1,1
