Anio,Semana,Entidad,Padecimiento,Casos_semana,Acumulado_hombres,Acumulado_mujeres,Acumulado_anio_anterior
2014,02,Aguascalientes,Depresión,1,1,0,
2014,02,Aguascalientes,Parkinson,0,0,0,
2014,02,Aguascalientes,Alzheimer,0,0,0,
2014,02,Baja California,Depresión,2,1,1,
2014,02,Baja California,Parkinson,1,1,0,
2014,02,Baja California,Alzheimer,0,0,0,
2014,02,Baja California Sur,Depresión,0,0,0,
2014,02,Baja California Sur,Parkinson,0,0,0,
2014,02,Baja California Sur,Alzheimer,0,0,0,
2014,02,Campeche,Depresión,2,1,1,
2014,02,Campeche,Parkinson,0,0,0,
2014,02,Campeche,Alzheimer,0,0,0,
2014,02,Coahuila,Depresión,6,2,4,
2014,02,Coahuila,Parkinson,0,0,0,
2014,02,Coahuila,Alzheimer,0,0,0,
2014,02,Colima,Depresión,0,0,0,
2014,02,Colima,Parkinson,0,0,0,
2014,02,Colima,Alzheimer,0,0,0,
2014,02,Chiapas,Depresión,0,0,0,
2014,02,Chiapas,Parkinson,0,0,0,
2014,02,Chiapas,Alzheimer,0,0,0,
2014,02,Chihuahua,Depresión,1,0,1,
2014,02,Chihuahua,Parkinson,0,0,0,
2014,02,Chihuahua,Alzheimer,0,0,0,
2014,02,Distrito Federal,Depresión,8,0,8,
2014,02,Distrito Federal,Parkinson,0,0,0,
2014,02,Distrito Federal,Alzheimer,0,0,0,
2014,02,Durango,Depresión,5,0,5,
2014,02,Durango,Parkinson,0,0,0,
2014,02,Durango,Alzheimer,0,0,0,
2014,02,Guanajuato,Depresión,0,0,0,
2014,02,Guanajuato,Parkinson,0,0,0,
2014,02,Guanajuato,Alzheimer,1,0,1,
2014,02,Guerrero,Depresión,4,2,2,
2014,02,Guerrero,Parkinson,0,0,0,
2014,02,Guerrero,Alzheimer,0,0,0,
2014,02,Hidalgo,Depresión,0,0,0,
2014,02,Hidalgo,Parkinson,0,0,0,
2014,02,Hidalgo,Alzheimer,0,0,0,
2014,02,Jalisco,Depresión,2,1,1,
2014,02,Jalisco,Parkinson,0,0,0,
2014,02,Jalisco,Alzheimer,0,0,0,
2014,02,México,Depresión,3,1,2,
2014,02,México,Parkinson,0,0,0,
2014,02,México,Alzheimer,0,0,0,
2014,02,Michoacán,Depresión,6,2,4,
2014,02,Michoacán,Parkinson,0,0,0,
2014,02,Michoacán,Alzheimer,0,0,0,
2014,02,Morelos,Depresión,19,4,15,
